Date,Open,High,Low,Price,Adj Close,Volume
12/1/1998,23.3125,23.8125,23.1875,23.34375,14.60263,165600
1/1/1999,23.28125,24.5625,21.4375,21.8125,13.644759,1070900
2/1/1999,21.8125,23.21875,21.53125,21.625,13.52746,1579500
3/1/1999,21.671875,25.6875,21.09375,24.59375,15.384561,6328000
4/1/1999,24.625,28.875,24.296875,28.234375,17.725433,5284700
5/1/1999,28.25,29.125,27.015625,27.625,17.342869,4966300
6/1/1999,27.5625,29.375,27.015625,28.046875,17.607725,3195400
7/1/1999,28.125,29.375,27.59375,28.578125,18.032116,970400
8/1/1999,28.390625,30.171875,27.953125,28.890625,18.229305,4458600
9/1/1999,28.890625,30.3125,26.25,27.4375,17.312414,3957600
10/1/1999,27.5,27.703125,25.6875,27.03125,17.133432,3291300
11/1/1999,27.0625,29.1875,25.375,26.984375,17.103714,2711600
12/1/1999,26.9375,28,26.15625,27.09375,17.173038,6257400
1/1/2000,27.3125,29.46875,25.875,27.3125,17.362745,5903600
2/1/2000,27.3125,27.609375,24.625,26.15625,16.62771,4213000
3/1/2000,26.015625,30.21875,25.9375,29.3125,18.634163,8607600
4/1/2000,29.5,30.15625,27.515625,28.875,18.417549,5818900
5/1/2000,29.1875,32.3125,29,32.265625,20.580208,5148800
6/1/2000,32.15625,32.5,30.09375,30.34375,19.354368,4563100
7/1/2000,30.1875,31.046875,28.28125,29.1875,18.706905,4206700
8/1/2000,29.4375,33.375,29.4375,32.375,20.749844,3902900
9/1/2000,32.28125,34.46875,31,32.765625,21.000198,17712900
10/1/2000,32.9375,34.75,30.875,31.875,20.517702,14760000
11/1/2000,32.125,33.125,29.90625,30.203125,19.441538,7471000
12/1/2000,30.25,33.9375,30.125,33.1875,21.362545,5079100
1/1/2001,33.75,34.109375,30.1875,32.130001,20.743675,4092000
2/1/2001,32.130001,34.040001,31.549999,31.74,20.491886,4613800
3/1/2001,31.85,34.349998,29.450001,30.700001,19.820448,6845600
4/1/2001,30.5,34.240002,29.049999,33.869999,21.933374,4746100
5/1/2001,33.580002,34.900002,31.809999,33.549999,21.726141,9348600
6/1/2001,33.5,34.029999,29.84,30.35,19.653896,6929900
7/1/2001,30.200001,30.719999,28.25,30,19.518492,5077900
8/1/2001,30.35,30.48,28.5,28.73,18.692213,5719600
9/1/2001,28.74,29.32,23.75,25.82,16.798925,11451900
10/1/2001,25.6,28.9,25.030001,26.860001,17.57386,11513200
11/1/2001,26.790001,27.530001,24,25.360001,16.592438,24805800
12/1/2001,25.23,27.219999,24.700001,26.700001,17.469173,6896300
1/1/2002,26.700001,28,23.200001,25.75,16.917028,5965000
2/1/2002,25.77,27,24.83,26.629999,17.495159,11707000
3/1/2002,26.98,29.25,26.719999,28.889999,18.979918,8185500
4/1/2002,29.049999,29.52,27.030001,27.85,18.35836,8995000
5/1/2002,27.65,28.5,26.780001,27.360001,18.035353,5860200
6/1/2002,27.25,27.25,25.25,26.200001,17.270697,4299400
7/1/2002,26.26,26.35,19.379999,22.57,14.967513,13229800
8/1/2002,22.18,23.99,20.120001,22.91,15.192992,5151900
9/1/2002,22.4,23.26,20.51,21.16,14.032457,4293500
10/1/2002,21.200001,22.860001,20.190001,21.549999,14.368917,7631100
11/1/2002,21.549999,22.559999,20.799999,22.440001,14.962357,3982100
12/1/2002,22.530001,23.379999,21.950001,22.33,14.889008,6810800
1/1/2003,22.450001,23.07,20.459999,21.77,14.590509,8272700
2/1/2003,21.799999,22.83,21.059999,22.41,15.019446,8332200
3/1/2003,22.360001,22.85,21.450001,22.32,14.95912,14874300
4/1/2003,22.35,22.780001,21.809999,22.129999,14.909776,9953800
5/1/2003,22.32,24.639999,21.98,24.48,16.493055,11640100
6/1/2003,24.6,25.799999,24.049999,24.049999,16.203344,7342300
7/1/2003,23.889999,24.110001,22.92,23.200001,15.705823,6841400
8/1/2003,23.25,24.700001,22.73,24.68,16.70775,8117500
9/1/2003,24.610001,25.049999,23.75,24.049999,16.281252,5283600
10/1/2003,24,25.08,23.76,24.280001,16.519722,6555900
11/1/2003,24.32,24.709999,23.9,24.469999,16.649004,4802200
12/1/2003,24.59,28,24.5,27.549999,18.744583,14588400
1/1/2004,27.809999,29.110001,27.4,28.17,19.252489,21490000
2/1/2004,28.24,29.75,27.52,29.65,20.263987,14154400
3/1/2004,29.870001,30.48,28.01,29.34,20.052118,22773100
4/1/2004,29.389999,31.040001,28.91,29.84,20.480478,25964500
5/1/2004,29.93,30.799999,28.65,29.75,20.418697,36946800
6/1/2004,30.030001,31.99,29.540001,31.48,21.606081,39628800
7/1/2004,31.6,32.73,31.309999,32.450001,22.360531,24797700
8/1/2004,32.5,32.849998,30.559999,31.950001,22.015997,48803700
9/1/2004,32,35.279999,31.959999,34.93,24.069441,47898000
10/1/2004,35.049999,36.830002,34.349998,35.139999,24.310694,66058100
11/1/2004,35.349998,37.900002,34.32,37.509998,25.950321,77605300
12/1/2004,37.400002,37.529999,34.759998,36.32,25.127039,71242100
1/1/2005,36.099998,37.709999,34.540001,37.549999,26.072363,77167200
2/1/2005,37.759998,44.75,37.709999,43.849998,30.44669,90268200
3/1/2005,43.75,45.139999,40.779999,42.869999,29.766245,252411200
4/1/2005,43.43,44.48,39.41,40.549999,28.249125,366081900
5/1/2005,40.490002,42.09,37.939999,41.68,29.03635,318560300
6/1/2005,41.919998,46.150002,41.810001,44.450001,30.966063,285274700
7/1/2005,44.509998,48.48,44.509998,47.599998,33.264145,283648100
8/1/2005,47.82,50.889999,46.869999,50.639999,35.388592,302465300
9/1/2005,51.299999,54.650002,50.439999,53.669998,37.506027,307291200
10/1/2005,54.049999,54.299999,44.939999,48.82,34.214275,597461500
11/1/2005,48.560001,51.34,46.73,49.549999,34.725857,421911900
12/1/2005,49.950001,53.189999,49.459999,50.310001,35.25848,362386100
1/1/2006,50.630001,58.279999,50.630001,57.66,40.515308,445269600
2/1/2006,57.490002,58.07,51.09,52.34,36.777164,554313800
3/1/2006,52.740002,55.700001,50.549999,54.400002,38.224651,511031000
4/1/2006,54.75,59.849998,54.25,57.139999,40.268883,424460600
5/1/2006,57.549999,60.150002,52.150002,55.549999,39.148338,557877800
6/1/2006,55,57.18,50.009998,56.75,39.994022,676643200
7/1/2006,57.049999,58.98,54.25,58.650002,41.485981,367825600
8/1/2006,58.540001,59.880001,55.540001,55.669998,39.378067,363097400
9/1/2006,56,57.27,50.169998,53.450001,37.807766,517274100
10/1/2006,53.220001,57.450001,50.200001,55.73,39.555542,565978700
11/1/2006,55.619999,60.830002,54.720001,60.509998,42.948261,450946200
12/1/2006,60.110001,62.130001,58.189999,58.630001,41.613888,362478200
1/1/2007,58.310001,58.389999,53.889999,58.09,41.353851,650083100
2/1/2007,58.099998,59.529999,56.450001,56.900002,40.506683,416980800
3/1/2007,56.32,61.16,54.939999,60.279999,42.91288,570962300
4/1/2007,60.259998,64.75,60.189999,63.369999,45.26062,353589200
5/1/2007,63.439999,69.07,62.98,68.300003,48.781754,454866200
6/1/2007,68.639999,71.449997,66.790001,68.989998,49.274582,405407800
