Date,Open,High,Low,Price,Adj Close,Volume
12/1/1998,19.052092,19.344028,18.849005,19.039398,9.614954,550900
1/1/1999,18.810926,20.359465,18.455524,19.369415,9.781607,2531800
2/1/1999,19.445572,20.20715,17.922421,19.674046,9.935444,2872700
3/1/1999,19.597887,21.374899,19.509037,20.257921,10.230307,3842200
4/1/1999,20.20715,22.441105,20.105606,21.679529,10.977285,3275700
5/1/1999,21.603371,22.16186,19.800974,20.372156,10.315306,4067200
6/1/1999,20.257921,21.374899,19.623274,21.197197,10.733059,2574100
7/1/1999,21.247969,21.806458,19.877132,19.902519,10.105474,2872000
8/1/1999,20.004063,20.956032,18.404753,19.026707,9.660786,4856100
9/1/1999,19.115557,19.69943,17.465475,17.973192,9.125865,6958600
10/1/1999,17.83357,21.247969,16.957758,20.765638,10.57899,12253900
11/1/1999,20.714867,21.755686,19.52173,19.851746,10.113407,7377100
12/1/1999,19.648659,20.638708,18.455524,19.30595,9.835356,18113500
1/1/2000,19.267872,19.559809,17.44009,18.734768,9.5794,10664100
2/1/2000,18.836311,18.874392,15.96771,16.729284,8.553971,10370900
3/1/2000,16.754671,20.461008,15.815394,19.712124,10.079143,18608400
4/1/2000,20.130991,20.956032,17.973192,19.902519,10.213833,10646800
5/1/2000,18.988626,20.461008,18.404753,20.346771,10.441819,6636000
6/1/2000,20.448315,22.060316,19.014013,19.293257,9.901167,11620500
7/1/2000,19.293257,21.400284,19.140942,20.99411,10.811258,5678800
8/1/2000,21.108347,23.253452,21.019497,23.126524,11.909379,5251700
9/1/2000,23.151909,24.0658,22.034931,23.558083,12.131616,13305100
10/1/2000,23.532698,24.0658,20.20715,23.354996,12.063388,22416600
11/1/2000,23.151909,23.735785,20.917953,22.16186,11.447103,21316900
12/1/2000,22.314175,24.421202,21.704914,23.964256,12.378085,26063300
1/1/2001,24.040415,24.903534,22.745735,23.907393,12.39438,28694200
2/1/2001,24.004873,24.272949,21.267262,22.298944,11.560508,13816600
3/1/2001,22.136475,23.103168,18.992689,21.559708,11.177263,19338400
4/1/2001,21.332251,23.549959,20.18684,22.339561,11.619884,35839500
5/1/2001,22.266451,23.826159,22.225832,23.322502,12.131155,8609100
6/1/2001,23.192526,23.704306,22.047115,23.070675,12.000172,16121700
7/1/2001,23.192526,23.428106,21.868401,22.851341,11.929838,17289000
8/1/2001,22.891958,23.135662,21.194151,21.340374,11.141023,15869300
9/1/2001,21.210398,21.649065,17.181154,20.04874,10.466703,18662000
10/1/2001,19.97563,20.796101,19.333876,19.76442,10.36418,32653700
11/1/2001,19.81316,21.803411,19.41511,21.047928,11.037234,10415400
12/1/2001,20.836718,21.665312,20.641754,21.364744,11.203365,16749400
1/1/2002,21.242891,21.925264,19.943136,21.12104,11.123858,62116800
2/1/2002,21.080423,21.080423,19.577579,20.755484,10.931334,97548900
3/1/2002,20.917953,22.591389,20.755484,22.055239,11.615877,69120800
4/1/2002,21.852152,22.461414,21.202274,21.49472,11.358361,39750400
5/1/2002,21.608448,22.258327,20.495533,21.429731,11.324021,33166400
6/1/2002,21.462225,21.600325,19.431356,20.422421,10.79173,50909600
7/1/2002,20.292444,20.495533,15.109667,18.724613,9.938514,91268200
8/1/2002,18.594639,19.78879,17.067425,19.073923,10.123911,59989500
9/1/2002,18.683996,18.992689,16.238831,16.791227,8.912315,40835800
10/1/2002,16.937449,18.846466,15.044679,18.326563,9.779613,92550500
11/1/2002,18.212835,19.333876,17.692932,19.008936,10.143749,51032000
12/1/2002,19.25264,19.390739,17.676685,17.871649,9.53686,24018200
1/1/2003,17.912266,19.496344,17.238018,17.644192,9.471972,36988400
2/1/2003,17.587328,17.814785,16.328188,17.099918,9.179791,29948400
3/1/2003,17.303005,18.017872,15.556458,16.864338,9.05332,35754700
4/1/2003,16.978067,19.25264,16.904955,18.984566,10.237351,41237500
5/1/2003,18.976442,19.983753,18.651503,19.95126,10.758643,81956900
6/1/2003,20.146223,21.324127,19.902519,19.943136,10.75426,66263900
7/1/2003,19.780666,21.348497,19.731926,20.812347,11.275105,42587200
8/1/2003,20.861088,20.974817,20,20.568644,11.143076,72060000
9/1/2003,20.625507,21.478474,20.37368,20.641754,11.182686,98995200
10/1/2003,20.714867,22.282698,20.714867,22.071487,12.020535,68051100
11/1/2003,22.136475,22.372055,21.372868,21.990252,11.97629,44377900
12/1/2003,22.112104,22.989439,21.827782,22.851341,12.445256,51658300
1/1/2004,22.891958,23.99675,22.729488,23.5987,12.928949,79789200
2/1/2004,23.614946,24.500406,23.476849,24.272949,13.298345,58719800
3/1/2004,24.297319,24.865963,23.225019,23.883022,13.084718,90049400
4/1/2004,24.086109,24.573517,22.753859,22.843218,12.571645,140239200
5/1/2004,22.867588,23.354996,21.787165,23.233143,12.786241,128328100
6/1/2004,23.111292,23.631195,22.973192,23.216896,12.777296,73979800
7/1/2004,23.151909,23.281885,22.185215,22.721365,12.568678,70995900
8/1/2004,22.721365,24.549147,22.136475,23.460602,12.977599,72196400
9/1/2004,23.476849,23.964256,22.932575,23.119415,12.788867,66432600
10/1/2004,23.160032,23.769293,21.933388,23.241268,12.925928,106569000
