Date,Open,High,Low,Price,Adj Close,Volume
12/1/1998,23.203125,24.5625,23.203125,24.5625,16.689182,47600
1/1/1999,24.59375,25.328125,23.53125,24.296875,16.508707,204600
2/1/1999,24.5,25.171875,23.859375,24.515625,16.657339,112100
3/1/1999,24.46875,25.703125,24.109375,24.9375,16.943981,174600
4/1/1999,24.96875,29.3125,24.96875,28.6875,19.564693,1358100
5/1/1999,28.578125,30.140625,27.65625,28.125,19.181072,1933400
6/1/1999,28.125,30.03125,27.890625,29.8125,20.331936,500200
7/1/1999,29.578125,30.625,28.71875,28.71875,19.610975,512600
8/1/1999,28.90625,30.234375,28.078125,28.953125,19.771023,358900
9/1/1999,29.046875,30.046875,27.71875,28.75,19.632317,614700
10/1/1999,28.53125,29.515625,26.484375,28.125,19.241474,1015600
11/1/1999,28.015625,29.0625,27.359375,27.5,18.813887,615400
12/1/1999,27.5625,29.609375,27.140625,29.609375,20.256992,4195500
1/1/2000,29.484375,29.625,26.265625,27.1875,18.673786,1609100
2/1/2000,27.15625,27.296875,25,25.6875,17.643505,1350100
3/1/2000,25.703125,29.515625,24.90625,29.203125,20.058218,4562600
4/1/2000,29.3125,30.4375,27.59375,29.625,20.389959,2131100
5/1/2000,29.734375,31.0625,28.671875,29.5,20.303921,560900
6/1/2000,29.546875,30.1875,27.296875,28.28125,19.465105,1208000
7/1/2000,28.40625,30.15625,28.15625,28.71875,19.807087,528000
8/1/2000,28.828125,31.9375,28.703125,31.5625,21.768393,802900
9/1/2000,31.75,32.1875,29.34375,30.5625,21.078703,1172800
10/1/2000,30.28125,31.25,28.59375,31.25,21.611656,770000
11/1/2000,31.4375,31.53125,29.609375,30.1875,20.876862,192800
12/1/2000,30.46875,32.65625,29.03125,31.25,21.611656,1302300
1/1/2001,31.21875,31.6875,29.1875,31.370001,21.784962,1263400
2/1/2001,31.299999,31.34,28.889999,29.49,20.479383,775700
3/1/2001,29.280001,30.85,24.5,26.59,18.465481,764300
4/1/2001,26.59,30.24,25.24,29.629999,20.635229,362800
5/1/2001,29.459999,32.470001,29.32,30.870001,21.498802,548200
6/1/2001,30.9,31.49,28.809999,28.9,20.126841,788700
7/1/2001,28.950001,29.530001,27.82,28.84,20.128555,605900
8/1/2001,29.1,29.74,27.33,27.85,19.437601,569300
9/1/2001,27.719999,28.26,20.4,23.67,16.52022,785400
10/1/2001,23.700001,25.75,23.17,24.09,16.883989,638700
11/1/2001,24.15,27.25,23.799999,26.5,18.573084,1200400
12/1/2001,26.370001,28.120001,26.049999,27.700001,19.414135,7020800
1/1/2002,27.6,27.99,24.35,25.950001,18.187605,7274400
2/1/2002,25.940001,27.25,24.120001,26.6,18.643173,10132400
3/1/2002,26.799999,28.780001,26.610001,27.24,19.091728,3140700
4/1/2002,26.98,27.75,24.65,25.360001,17.826057,4521000
5/1/2002,25.299999,26.35,24.77,25.469999,17.903379,2421200
6/1/2002,25.6,25.6,22.700001,23.85,16.764652,1814600
7/1/2002,23.969999,24.01,19.1,22.5,15.854109,1912200
8/1/2002,22.43,23.34,20.5,22.15,15.607491,996600
9/1/2002,21.76,22.219999,19.02,19.52,13.754316,2169300
10/1/2002,19.639999,21.08,17.75,20.48,14.485408,4566900
11/1/2002,20.379999,21.75,19.969999,21.549999,15.242216,2246600
12/1/2002,21.85,22.09,20.16,20.59,14.563211,3951900
1/1/2003,20.83,21.559999,19.15,19.48,13.854073,2421600
2/1/2003,19.68,19.77,18.35,19.18,13.640717,2051300
3/1/2003,19.389999,20.58,17.85,19.309999,13.733171,9655900
4/1/2003,19.450001,21.4,19.200001,21.4,15.277743,3861400
5/1/2003,21.4,22.18,20.85,21.98,15.691809,5550500
6/1/2003,22.200001,23.59,21.530001,22.389999,15.984516,5248000
7/1/2003,22.219999,23.450001,21.309999,23.129999,16.549004,12303800
8/1/2003,23.15,24.4,22.379999,24.030001,17.19293,10763100
