Date,Open,High,Low,Price,Adj Close,Volume
12/1/1998,32.40625,33.1875,31.78125,32.625,25.459702,1488400
1/1/1999,32.65625,37.84375,32,37.8125,29.507883,14408300
2/1/1999,38.15625,38.375,33.34375,34.0625,26.581499,37772500
3/1/1999,33.625,37.8125,32.875,36.59375,28.556807,24454200
4/1/1999,37.5,39.5625,34.125,36.8125,28.727522,14803300
5/1/1999,37,39.28125,35.375,36.9375,28.825062,8576500
6/1/1999,36.984375,40.625,35.46875,40.484375,31.592951,7156600
7/1/1999,40.65625,44,39.71875,40.015625,31.227167,7672000
8/1/1999,39.8125,42.6875,37.9375,41.421875,32.324547,9005300
9/1/1999,41.71875,43.9375,40.0625,41.25,32.190445,10105600
10/1/1999,41.0625,43.203125,38.46875,42.5,33.16589,13624600
11/1/1999,42.625,49,42.140625,46.671875,36.42152,9600500
12/1/1999,46.5,55,46.5,53.875,42.042656,12957600
1/1/2000,55.625,55.625,47.875,50.5625,39.458427,26007000
2/1/2000,50.515625,56.5,50.03125,55.875,43.604252,14345000
3/1/2000,56,65.4375,55.875,60.5625,47.262318,25334100
4/1/2000,59.8125,60.75,47.25,55,42.921421,19069700
5/1/2000,55.8125,56.25,44.6875,49.28125,38.458561,10430200
6/1/2000,50.25,56.984375,49.9375,54.1875,42.287346,7453200
7/1/2000,54.0625,57.75,49.84375,51.3125,40.043716,4436200
8/1/2000,51.25,56.65625,48.84375,56.53125,44.116379,4197800
9/1/2000,57.03125,57.1875,46.3125,46.375,36.190529,6812600
10/1/2000,47.0625,47.4375,39.5,43.71875,34.117645,10161600
11/1/2000,43.25,44.65625,33.765625,34.75,27.118534,9777200
12/1/2000,35.75,39.375,29.625,31.3125,24.435944,31240300
1/1/2001,31.4375,39.0625,29.140625,37.299999,29.108522,18885300
2/1/2001,37.419998,37.650002,27.59,28.01,21.858711,16537600
3/1/2001,27.65,30.209999,24.299999,24.799999,19.353647,20568600
4/1/2001,24.950001,32,21.85,28.809999,22.483019,21948800
5/1/2001,28.799999,31.190001,27.17,27.629999,21.562157,17379100
6/1/2001,27.9,29.690001,25.48,28.17,21.983562,8168200
7/1/2001,27.9,28.51,25.049999,26.219999,20.461809,9975700
8/1/2001,26.700001,27.5,22.57,23.02,17.964563,8981300
