Date,Open,High,Low,Price,Adj Close,Volume
12/1/1998,25.875,28.796875,25.875,27.15625,16.802961,465200
1/1/1999,27.375,27.59375,25.109375,26.796875,16.580597,1719500
2/1/1999,26.984375,27.265625,25.625,26.515625,16.406584,939200
3/1/1999,26.421875,27.953125,26.046875,26.4375,16.358229,1359400
4/1/1999,26.71875,27.671875,25,25.515625,15.815703,1346200
5/1/1999,25.75,26.96875,24.765625,25.25,15.65106,1242500
6/1/1999,25.296875,26.109375,24.40625,25.59375,15.864129,969100
7/1/1999,25.671875,26.25,24.546875,24.640625,15.334298,831800
8/1/1999,24.671875,26.046875,23.5625,25.0625,15.596835,886300
9/1/1999,24.984375,25.5,22.25,22.75,14.157725,1184400
10/1/1999,22.8125,25.28125,22.671875,24.828125,15.486017,1410600
11/1/1999,25.0625,25.640625,24.390625,24.90625,15.534741,1245600
12/1/1999,24.734375,25.359375,22.390625,23.03125,14.365247,8163100
1/1/2000,23.125,24.484375,22.078125,23.234375,14.534286,5072600
2/1/2000,23.046875,23.171875,20.09375,20.515625,12.83357,3187400
3/1/2000,20.421875,21.640625,18.34375,21.21875,13.273408,11689500
4/1/2000,21.625,23.46875,21.359375,22.34375,14.02202,2498400
5/1/2000,22.5,24.453125,22.15625,23.9375,15.0222,3675800
6/1/2000,24.171875,25.234375,23.015625,25.234375,15.836061,2902300
7/1/2000,25.078125,25.65625,23.96875,24.3125,15.292773,1456600
8/1/2000,24.421875,25.34375,23.8125,24.015625,15.106036,1804000
9/1/2000,24.0625,25.25,23.25,24.984375,15.715386,8447500
10/1/2000,24.828125,26.84375,24.578125,26.71875,16.870258,1445100
11/1/2000,26.75,28.515625,26.25,27.640625,17.452328,1571500
12/1/2000,27.53125,28.875,26.609375,28.5625,18.034399,952700
1/1/2001,28.625,28.75,25.5,26.48,16.768427,2164900
2/1/2001,26.620001,27.459999,25.92,26.639999,16.869751,2768400
3/1/2001,26.639999,26.66,22.52,24.719999,15.653906,1760200
4/1/2001,24.799999,25.530001,23.82,25.200001,16.004557,753700
5/1/2001,25.309999,26.24,24.92,25.57,16.239555,1857900
6/1/2001,25.6,26.25,24.309999,24.309999,15.439322,2271300
7/1/2001,24.629999,25.48,23.959999,25.049999,15.959893,1019300
8/1/2001,25.25,26.1,24.719999,25.17,16.036348,1875100
9/1/2001,25.200001,26.1,23.200001,25.059999,15.966267,5803000
10/1/2001,25.200001,25.950001,24.9,24.9,15.914756,3276300
11/1/2001,25.129999,26.25,24.98,26,16.617813,2326400
12/1/2001,26,26.07,24.75,25.4,16.234325,1256100
1/1/2002,25.200001,25.58,24.139999,25.23,16.182581,4717100
2/1/2002,25.51,26.1,24.620001,25.76,16.522532,4209800
3/1/2002,25.92,26.5,25.709999,26.1,16.740604,6118800
4/1/2002,25.98,26.09,24.9,25.129999,16.165024,3196700
5/1/2002,25.17,25.559999,24.530001,24.85,15.984906,2256500
6/1/2002,24.9,24.969999,21.83,22.25,14.312441,2534800
7/1/2002,22.299999,22.65,18.719999,21.299999,13.743102,2310800
8/1/2002,21.200001,22.34,20.26,21.469999,13.852792,1992100
9/1/2002,21.25,21.82,19.5,19.790001,12.768825,1976000
10/1/2002,19.889999,21.379999,19.889999,20.559999,13.351489,4795300
11/1/2002,20.5,20.83,19.6,19.99,12.981333,2362700
12/1/2002,20.1,20.450001,19.719999,19.940001,12.948866,3185900
1/1/2003,20.01,20.68,18.76,19.26,12.574024,3053800
2/1/2003,19.34,19.48,18.5,18.67,12.188843,3406100
3/1/2003,18.77,19.49,17.82,18.57,12.123556,7015600
4/1/2003,18.35,19.360001,18.35,19.120001,12.551336,6026900
5/1/2003,19.07,20.139999,18.799999,20.059999,13.168402,6543000
6/1/2003,20.200001,20.799999,20.01,20.16,13.234047,4228700
