Date,Open,High,Low,Price,Adj Close,Volume
10/1/2015,30.01,31.462999,30.01,30.642,26.108332,44600
11/1/2015,30.950001,31.6,26.700001,30.75,26.200354,315800
12/1/2015,30.98,31.59,29.92,31.184,26.570137,81400
1/1/2016,30.98,31.382999,28.120001,29.190001,25.146164,37200
2/1/2016,29.607,29.809999,27.070999,29.33,25.266769,24300
3/1/2016,29.799999,32.330002,29.790001,32.16,27.704712,201800
4/1/2016,32.022999,33.150002,31.01,31.379999,27.29122,89000
5/1/2016,31.190001,33.189999,30.985001,31.92,27.760855,83100
6/1/2016,31.75,33.599998,31.634001,33.59,29.213259,108300
7/1/2016,33.830002,34.77,33.327999,34.678001,30.408482,1412800
8/1/2016,34.709999,34.82,32.900002,33.380001,29.270292,1214100
9/1/2016,33.509998,33.900002,31.65,32.77,28.735392,57438500
10/1/2016,32.66,32.700001,30.355,30.950001,27.282852,45375000
11/1/2016,30.870001,30.900999,29.073999,30.01,26.454229,52091700
12/1/2016,29.82,31.48,29.41,30.75,27.10655,43564900
1/1/2017,30.860001,31.549999,30.370001,30.709999,27.56818,38090300
2/1/2017,30.67,32.349998,30.32,32.139999,28.851887,42562200
3/1/2017,32.060001,32.248001,30.540001,31.6,28.367132,54173100
4/1/2017,31.66,32.591,31.450001,31.65,28.593239,36392300
5/1/2017,31.700001,32.348,31.139999,31.860001,28.782957,37806900
6/1/2017,31.870001,32.834999,31.725,32.200001,29.09012,56492800
7/1/2017,32.34,32.77,31.209999,32.59,29.689182,36087200
8/1/2017,32.650002,33.040001,31.823999,32.919998,29.989809,31226000
9/1/2017,32.959999,33.459999,31.879999,32.240002,29.370338,34217700
10/1/2017,32.279999,33.117001,31.865,32.5,29.819355,36118200
11/1/2017,32.549999,34.023998,32.415001,33.450001,30.690998,37159300
12/1/2017,33.509998,33.68,32.150002,32.939999,30.223064,32062500
1/1/2018,32.990002,33.040001,31.103001,32.310001,29.972076,44478000
2/1/2018,32.209999,32.419998,29.17,30.110001,27.931267,108788000
3/1/2018,30.120001,31.415001,29.610001,31.08,28.831078,109914400
4/1/2018,31.120001,31.34,30.033001,30.889999,28.823452,76180500
5/1/2018,30.940001,31.809999,30.43,31.58,29.467295,46733800
6/1/2018,31.57,32.860001,31.285,32.709999,30.521694,59265800
7/1/2018,32.669998,33.349998,32.139999,33.049999,31.101961,56287700
8/1/2018,32.799999,34.134998,32.650002,33.849998,31.854811,53328200
9/1/2018,33.779999,33.959999,32.07,32.610001,30.687897,38899000
10/1/2018,32.610001,32.75,30.65,32.09,30.517384,106060000
11/1/2018,32.18,33.884998,31.58,33.849998,32.191135,87910000
12/1/2018,33.900002,34.5,29.52,31,29.480803,159212900
1/1/2019,30.799999,34.389999,30.110001,34.330002,33.030895,122724200
2/1/2019,34.380001,35.220001,33.669998,34.709999,33.396515,85779300
3/1/2019,34.77,36.306999,34.264999,36.220001,34.849373,93941800
4/1/2019,36.27,36.709999,34.825001,36.029999,34.865177,77910700
5/1/2019,36.060001,36.990002,35.259998,36.470001,35.290955,75859400
6/1/2019,36.599998,38.619999,36.099998,36.77,35.581261,85502700
7/1/2019,36.950001,38.310001,36.285,37.41,36.487732,91229100
8/1/2019,37.52,39.389999,36.619999,39.209999,38.243351,105065700
9/1/2019,39.150002,40.139999,38.465,39.34,38.370148,91772200
10/1/2019,39.299999,40.34,38.529999,39.330002,38.617191,79694800
11/1/2019,39.380001,39.514999,37.549999,38.650002,37.949516,69783200
12/1/2019,38.549999,38.709999,37.259998,38.669998,37.969151,83224700
1/1/2020,38.790001,40.209999,37.884998,39.23,38.938229,87119800
2/1/2020,39.389999,42,35.693001,36.790001,36.51638,137248900
3/1/2020,36.970001,40.139999,24.879999,31,30.76944,334494200
4/1/2020,29.6,29.969999,28.48,29.299999,29.299999,30261200
