Date,Open,High,Low,Price,Adj Close,Volume
12/1/1998,24.8125,26.03125,24.8125,26,19.202518,73400
1/1/1999,26.25,28.125,25.78125,27.25,20.125723,1505700
2/1/1999,27.375,27.984375,26.1875,27.28125,20.148804,725000
3/1/1999,27.21875,28.65625,26.90625,28,20.679642,513100
4/1/1999,28,30.59375,27.65625,29,21.418201,522900
5/1/1999,29.34375,30.09375,27.734375,28.109375,20.760424,272400
6/1/1999,27.96875,29.46875,27.78125,29.34375,21.672079,168000
7/1/1999,29.21875,30.03125,28.46875,28.46875,21.025839,241700
8/1/1999,28.5,28.65625,26.6875,27.1875,20.079567,407700
9/1/1999,27.0625,28.421875,26.21875,26.8125,19.802601,168500
10/1/1999,26.765625,28.5,25.328125,28.171875,20.806581,319900
11/1/1999,28.296875,29.65625,27.671875,28.5,21.048929,317800
12/1/1999,28.46875,30.890625,28.375,30.890625,22.814535,2852900
1/1/2000,31,32.9375,29.15625,30.109375,22.367678,1869900
2/1/2000,30.21875,31.8125,27,28.140625,20.90513,1110800
3/1/2000,28.265625,31.359375,27.21875,30.671875,22.785547,2289900
4/1/2000,30.921875,31.125,27.140625,30.3125,22.518576,253600
5/1/2000,30.40625,30.5625,27.96875,29.5,21.914988,511400
6/1/2000,29.5625,30.5,28.90625,29.5625,21.961416,1862700
7/1/2000,29.25,30.4375,28.625,29.125,21.636404,523000
8/1/2000,29.03125,30.65625,29.03125,30.15625,22.402508,354500
9/1/2000,30.03125,30.28125,28,29.0625,21.589977,2885000
10/1/2000,29.25,30.46875,25.1875,29.5,21.914988,294700
11/1/2000,29.546875,30.375,26.375,26.8125,19.918495,331100
12/1/2000,26.875,28.8125,25.96875,27.25,20.243505,397700
1/1/2001,27,30.25,26.140625,29.219999,21.710897,1071600
2/1/2001,29.5,29.85,27.790001,28.66,21.294806,936100
3/1/2001,28.530001,28.84,24.549999,26.82,19.927662,419800
4/1/2001,26.950001,29.26,25.700001,28.799999,21.402733,8234700
5/1/2001,28.889999,30.809999,28.33,29.9,22.220203,397900
6/1/2001,29.799999,30.18,28.450001,29.549999,21.960096,366300
7/1/2001,29.549999,29.860001,27.889999,28.959999,21.530546,258400
8/1/2001,28.85,29.299999,27.16,27.49,20.437662,590800
