Date,Open,High,Low,Price,Adj Close,Volume
12/1/1998,25.3125,26.40625,25.3125,26.125,20.199757,91100
1/1/1999,26.15625,27.5625,25.6875,27.46875,21.238731,264300
2/1/1999,27.59375,28.09375,26.21875,27.296875,21.105846,206000
3/1/1999,27.21875,29.5625,27.0625,28.59375,22.108583,278400
4/1/1999,28.75,30.65625,28.390625,29.34375,22.713123,578300
5/1/1999,29.40625,30.4375,27.625,28.015625,21.685102,513400
6/1/1999,28.0625,29.78125,27.625,29.78125,23.051758,143400
7/1/1999,29.5625,30.578125,27.4375,27.5625,21.363087,370400
8/1/1999,27.65625,28.0625,25.15625,26.5,20.539566,362200
9/1/1999,26.640625,27.046875,25.34375,26.078125,20.212582,243900
10/1/1999,26.21875,29.0625,25.90625,28.390625,22.036358,374000
11/1/1999,28.5,29.125,27.75,28.40625,22.048494,160800
12/1/1999,28.75,31.09375,28.21875,31.0625,24.110239,4812600
1/1/2000,31,31,26.875,27.203125,21.141092,1766000
2/1/2000,27.4375,28.359375,23.890625,25.6875,19.963211,1417100
3/1/2000,25.703125,29.890625,24.03125,29.265625,22.743979,4701800
4/1/2000,29.65625,31.9375,27.375,28.65625,22.313843,790000
5/1/2000,28.78125,29.53125,26.140625,27.109375,21.109335,694900
6/1/2000,27,28.125,24.125,25.59375,19.92915,1325900
7/1/2000,25.6875,28.5625,25.59375,26,20.28422,1215500
8/1/2000,26.125,27.84375,24.71875,24.921875,19.443115,506100
9/1/2000,24.8125,27,24.453125,24.890625,19.418732,17420200
10/1/2000,24.875,25.46875,21.5625,24.578125,19.222525,3726800
11/1/2000,24.75,25.3125,22.8125,23.96875,18.745934,713900
12/1/2000,24.15625,26.0625,22.8125,25.59375,20.016836,1016600
1/1/2001,25.78125,28.629999,25.3125,28.57,22.400511,10307700
2/1/2001,28.5,28.610001,25.709999,26.530001,20.801039,6339300
3/1/2001,26.52,27.799999,24.190001,26.09,20.456055,3056900
4/1/2001,25.84,27.9,25,27.299999,21.448349,1889000
5/1/2001,27.4,29.1,26.950001,27.950001,21.959034,2692600
6/1/2001,27.700001,28.49,26.84,27.67,21.739052,925900
7/1/2001,27.639999,29.35,26.6,28.9,22.754551,1327000
8/1/2001,28.799999,29.18,25.940001,26.370001,20.762545,2540500
9/1/2001,26.440001,27.17,20,22.969999,18.085543,3313200
10/1/2001,23,25.43,22.469999,24.18,19.095474,1666500
11/1/2001,24.08,27.74,24.08,27.4,21.638374,3376700
12/1/2001,27.15,29.15,27,28.6,22.586046,5184000
1/1/2002,28.85,29.540001,27.65,29.540001,23.365002,8303500
2/1/2002,29.450001,30.25,28.15,29.700001,23.49155,8626400
3/1/2002,29.700001,30.82,29.360001,30.040001,23.760487,5258600
4/1/2002,29.35,30.540001,27.92,29.200001,23.125172,6366000
5/1/2002,29.25,30.41,28.4,29.049999,23.00638,4652400
6/1/2002,29,29.379999,26.620001,27.469999,21.755083,11384200
7/1/2002,27.469999,27.75,21.200001,24.190001,19.192287,2186100
8/1/2002,24.15,26.08,21.889999,24.92,19.771461,1832100
9/1/2002,24.42,25.9,22.360001,22.67,17.986324,1791800
10/1/2002,22.65,25.4,20.67,24.200001,19.224251,4065400
11/1/2002,24,26.98,23.620001,25.32,20.11397,3174300
12/1/2002,26.049999,26.280001,22.559999,23.110001,18.358362,5252500
1/1/2003,23.33,24.620001,22,22.34,17.787243,2434900
2/1/2003,22.35,22.66,20.969999,22.24,17.707624,1398900
3/1/2003,22.4,24.280001,20.65,22.73,18.097771,7114200
4/1/2003,22.73,25.65,22.610001,25.389999,20.244864,5993500
5/1/2003,25.389999,26.77,24.84,26.74,21.321302,4428700
6/1/2003,27.049999,28.26,26.68,27.09,21.60038,6326300
7/1/2003,26.85,28.440001,26.57,27.59,22.029625,3353200
8/1/2003,27.65,29.1,26.799999,29,23.155457,4465900
9/1/2003,29.25,29.52,27.379999,27.58,22.021637,2728100
10/1/2003,27.82,30.299999,27.82,30.09,24.057199,5980400
11/1/2003,30.299999,30.620001,29.09,30.360001,24.273062,2708200
12/1/2003,30.6,31.57,29.639999,31.49,25.176516,2608400
1/1/2004,31.620001,32.34,30.959999,31.309999,25.100954,2572100
2/1/2004,31.299999,32.34,30.870001,31.99,25.646103,2753500
3/1/2004,32.080002,32.580002,30.549999,31.75,25.453693,5311600
4/1/2004,31.879999,32.540001,31.27,31.389999,25.198824,4938900
5/1/2004,31.35,31.77,29.73,31.59,25.359379,8936300
6/1/2004,31.450001,32.18,31.32,31.629999,25.391485,5965800
7/1/2004,31.700001,31.709999,29.74,30.43,24.460342,5468600
8/1/2004,30.43,30.690001,28.9,30.370001,24.412111,7832000
9/1/2004,30.299999,31.549999,30.299999,31.200001,25.079287,11394300
10/1/2004,31.209999,32.59,31.059999,32.459999,26.130379,10471300
11/1/2004,32.48,34.509998,32.380001,33.82,27.225189,12354800
12/1/2004,33.950001,35.459999,33.93,35.290001,28.408535,8844700
1/1/2005,35.450001,35.549999,33.23,33.779999,27.277666,5464600
2/1/2005,33.82,34.360001,33.330002,33.599998,27.132309,5813500
