DATE,Balance in Billions
1/1/2007,0
1/2/2007,0
1/3/2007,0
1/4/2007,2.145
1/5/2007,0.011
1/8/2007,1.952
1/9/2007,0.083
1/10/2007,0
1/11/2007,0
1/12/2007,1.385
1/15/2007,0
1/16/2007,0.417
1/17/2007,0
1/18/2007,0
1/19/2007,0
1/22/2007,0.162
1/23/2007,0.13
1/24/2007,0
1/25/2007,0
1/26/2007,1.356
1/29/2007,0
1/30/2007,0.112
1/31/2007,1.596
2/1/2007,3.245
2/2/2007,0
2/5/2007,0.497
2/6/2007,0.609
2/7/2007,0
2/8/2007,0
2/9/2007,0
2/12/2007,0
2/13/2007,0
2/14/2007,0
2/15/2007,0
2/16/2007,0
2/19/2007,0
2/20/2007,0
2/21/2007,0
2/22/2007,0.005
2/23/2007,0
2/26/2007,0
2/27/2007,0
2/28/2007,3.72
3/1/2007,0
3/2/2007,0.106
3/5/2007,0.744
3/6/2007,0
3/7/2007,0.247
3/8/2007,0
3/9/2007,0
3/12/2007,1.01
3/13/2007,0
3/14/2007,0
3/15/2007,0
3/16/2007,0.52
3/19/2007,0.107
3/20/2007,0
3/21/2007,0
3/22/2007,0
3/23/2007,0
3/26/2007,0
3/27/2007,0
3/28/2007,0.631
3/29/2007,0
3/30/2007,0
4/2/2007,0
4/3/2007,0
4/4/2007,0.888
4/5/2007,0
4/6/2007,0
4/9/2007,0
4/10/2007,0.071
4/11/2007,0
4/12/2007,0
4/13/2007,0.329
4/16/2007,2.335
4/17/2007,2
4/18/2007,0
4/19/2007,0
4/20/2007,0.891
4/23/2007,0.001
4/24/2007,0
4/25/2007,0.5
4/26/2007,0
4/27/2007,0
4/30/2007,0.76
5/1/2007,0
5/2/2007,0
5/3/2007,0.248
5/4/2007,0
5/7/2007,0
5/8/2007,0
5/9/2007,0
5/10/2007,0
5/11/2007,0
5/14/2007,0
5/15/2007,0
5/16/2007,0
5/17/2007,0.335
5/18/2007,0
5/21/2007,1.257
5/22/2007,0
5/23/2007,1.321
5/24/2007,0
5/25/2007,0
5/28/2007,0
5/29/2007,0
5/30/2007,0
5/31/2007,0
6/1/2007,0.039
6/4/2007,0
6/5/2007,0
6/6/2007,0
6/7/2007,0
6/8/2007,0
6/11/2007,0
6/12/2007,0.62
6/13/2007,4.657
6/14/2007,4.626
6/15/2007,3.751
6/18/2007,0
6/19/2007,0
6/20/2007,1.903
6/21/2007,3.712
6/22/2007,1.497
6/25/2007,2.736
6/26/2007,0
6/27/2007,2.857
6/28/2007,0.361
6/29/2007,0.839
7/2/2007,0
7/3/2007,0
7/4/2007,0
7/5/2007,0.296
7/6/2007,0
7/9/2007,0
7/10/2007,0.106
7/11/2007,0
7/12/2007,0.182
7/13/2007,0.276
7/16/2007,3.217
7/17/2007,0
7/18/2007,1.058
7/19/2007,0
7/20/2007,0
7/23/2007,0
7/24/2007,0.011
7/25/2007,1.46
7/26/2007,0
7/27/2007,7.132
7/30/2007,0.175
7/31/2007,5.75
8/1/2007,3.036
8/2/2007,0
8/3/2007,0.108
8/6/2007,0.236
8/7/2007,3.657
8/8/2007,0
8/9/2007,5
8/10/2007,38
8/13/2007,1.156
8/14/2007,0
8/15/2007,4.5
8/16/2007,11.528
8/17/2007,5.7
8/20/2007,2
8/21/2007,1
8/22/2007,0
8/23/2007,0
8/24/2007,0
8/27/2007,0
8/28/2007,2
8/29/2007,4.681
8/30/2007,0
8/31/2007,0
9/3/2007,0
9/4/2007,0
9/5/2007,0
9/6/2007,0
9/7/2007,0
9/10/2007,0.34
9/11/2007,0
9/12/2007,3.89
9/13/2007,0
9/14/2007,0
9/17/2007,0.241
9/18/2007,1
9/19/2007,0.343
9/20/2007,2.8
9/21/2007,0
9/24/2007,0
9/25/2007,0
9/26/2007,2
9/27/2007,4.412
9/28/2007,0.3
10/1/2007,4
10/2/2007,3.8
10/3/2007,0
10/4/2007,0
10/5/2007,0
10/8/2007,0
10/9/2007,0
10/10/2007,2.408
10/11/2007,5.578
10/12/2007,4.172
10/15/2007,6.184
10/16/2007,6.2
10/17/2007,0
10/18/2007,0
10/19/2007,0
10/22/2007,1.247
10/23/2007,0
10/24/2007,0
10/25/2007,0
10/26/2007,0
10/29/2007,3.078
10/30/2007,5
10/31/2007,1.277
11/1/2007,1.815
11/2/2007,0.481
11/5/2007,0
