date,Convertible Arbitrage,CTA Global,Distressed Securities,Emerging Markets,Equity Market Neutral,Event Driven,Fixed Income Arbitrage,Global Macro,Long/Short Equity,Merger Arbitrage,Relative Value,Short Selling,Funds Of Funds
Jan-97,1.19,3.93,1.78,7.91,1.89,2.13,1.91,5.73,2.81,1.5,1.8,-1.66,3.17
Feb-97,1.23,2.98,1.22,5.25,1.01,0.84,1.22,1.75,-0.06,0.34,1.18,4.26,1.06
Mar-97,0.78,-0.21,-0.12,-1.2,0.16,-0.23,1.09,-1.19,-0.84,0.6,0.1,7.78,-0.77
Apr-97,0.86,-1.7,0.3,1.19,1.19,-0.05,1.3,1.72,0.84,-0.01,1.22,-1.29,0.09
May-97,1.56,-0.15,2.33,3.15,1.89,3.46,1.18,1.08,3.94,1.97,1.73,-7.37,2.75
Jun-97,2.12,0.85,2.17,5.81,1.65,2.58,1.08,2.18,2.23,2.31,1.98,-0.65,2.25
Jul-97,1.93,5.91,2.34,5.6,2.47,3.07,0.95,7.38,4.54,2,1.81,-4.29,4.35
Aug-97,1.34,-4.73,1.47,-0.66,0.17,0.71,0.87,-1.8,1.07,0.79,1.03,-0.72,0.51
Sep-97,1.22,1.98,3.5,2.29,2.02,3.29,1.19,2.9,4.29,1.97,1.83,-1.55,3.34
Oct-97,1,-0.98,-0.64,-5.72,0.95,0.61,-0.32,-1.42,0.1,0.94,0.79,5.72,-0.99
Nov-97,0,1.33,0.54,-3.78,0.41,1.34,0.53,1.06,-0.26,2.23,1.11,2.17,-0.34
Dec-97,0.68,2.86,0.73,1.6,0.66,1.54,0.79,2.64,1.04,1.58,0.82,1.61,0.89
Jan-98,1.45,1.04,0.95,-4.29,0.6,0.55,-0.26,-0.5,0.13,0.55,1.32,0.14,-0.36
Feb-98,1.46,-0.65,2.27,3.39,1.35,2.94,0.98,1.28,3.42,2.12,1.3,1.55,2.56
Mar-98,1.44,1.22,2.52,3.18,1.79,2.63,1.28,5.7,3.36,1.64,1.45,6.37,3.73
Apr-98,1.26,-2.96,1.65,0.41,0.67,1.04,0.75,0.34,1.2,1.39,1.45,6.57,1.25
May-98,0.56,1.93,0.06,-8.25,0.8,-0.83,0.4,0.95,-0.87,-0.09,0.53,14.37,-0.72
Jun-98,-0.06,0.51,-0.47,-4.22,1.08,0.02,-0.8,1.2,1.67,0.72,0.26,-0.53,0.21
