Year,DJI,S&P,IXIC
1975,38.3,31.6,29.8
1976,17.9,19.2,26.1
1977,-17.3,-11.5,7.3
1978,-3.2,1.7,12.3
1979,4.2,11.6,28.1
1980,14.9,25.8,33.9
1981,-9.2,-9.7,-3.2
1982,19.6,14.8,18.7
1983,20.3,17.3,19.9
1984,-3.7,1.4,-11.2
1985,27.7,26.3,31.4
1986,22.6,14.6,7.4
1987,2.3,2,-5.3
1988,11.9,12.4,15.4
1989,27,27.3,19.3
1990,-4.3,-6.6,-17.8
1991,20.3,26.3,56.8
1992,4.2,4.5,15.5
1993,13.7,7.1,14.8
1994,2.1,-1.5,-3.2
1995,33.5,34.1,39.9
1996,26,20.3,22.7
1997,22.6,31,21.6
1998,16.1,26.7,39.6
1999,25.2,19.5,85.6
2000,-6.2,-10.1,-39.3
2001,-7.1,-13,-21.1
2002,-16.8,-23.4,-31.5
2003,25.3,26.4,50
2004,3.2,9,8.6
2005,-0.6,3,1.4
2006,16.3,13.6,9.5
2007,6.4,3.5,9.8
2008,-33.8,-38.5,-40.5
2009,18.8,23.5,43.9
2010,11,12.8,16.9
2011,5.5,0,-1.8
2012,7.3,13.4,15.9
2013,26.5,29.6,38.3
2014,7.5,11.4,13.4
2015,-2.2,-0.7,5.7
2016,13.4,9.5,7.5
2017,25.1,19.4,28.2
2018,-5.6,-6.2,-3.9
2019,22.3,28.9,35.2
