Date,Return
,
Dec-71,
Jan-72,1.22
Feb-72,0.95
Mar-72,0.25
Apr-72,0.25
May-72,-1.51
Jun-72,0.01
Jul-72,2.82
Aug-72,-1.13
Sep-72,2.96
Oct-72,2.85
Nov-72,2.12
Dec-72,-0.02
Jan-73,0.34
Feb-73,-6.44
Mar-73,1.59
Apr-73,-3.88
May-73,-4.03
Jun-73,0.92
Jul-73,2.17
Aug-73,-6.53
Sep-73,7.85
Oct-73,1.23
Nov-73,-14.03
Dec-73,-8.54
Jan-74,3.1
Feb-74,4.57
Mar-74,-3.67
Apr-74,-12.23
May-74,-5.66
Jun-74,-9.19
Jul-74,-1.6
Aug-74,-17.94
Sep-74,3.37
Oct-74,8.9
Nov-74,-10.48
Dec-74,-9.1
Jan-75,30.81
Feb-75,-4.61
Mar-75,8.95
Apr-75,-5.42
May-75,3.4
Jun-75,6.38
Jul-75,0.23
Aug-75,-1.44
Sep-75,-7.65
Oct-75,-1.37
Nov-75,1.41
Dec-75,5.64
Jan-76,14.57
Feb-76,3.91
Mar-76,-0.89
Apr-76,0.73
May-76,-1.99
Jun-76,1.38
Jul-76,3.11
Aug-76,2.96
Sep-76,3.34
Oct-76,1.25
Nov-76,4.33
Dec-76,8.84
Jan-77,1.81
Feb-77,-0.46
Mar-77,0.36
Apr-77,3.65
May-77,-1.13
Jun-77,5.1
Jul-77,3.32
Aug-77,1.1
Sep-77,-1.56
Oct-77,-1.11
Nov-77,6.66
Dec-77,0.22
Jan-78,-3.21
Feb-78,1.14
Mar-78,3.86
Apr-78,0.53
May-78,-1.77
Jun-78,-0.25
Jul-78,2.6
Aug-78,4.22
Sep-78,1.36
Oct-78,-10.54
Nov-78,0.63
Dec-78,0.65
Jan-79,7.65
Feb-79,-0.22
Mar-79,7.95
Apr-79,1.51
May-79,-0.14
Jun-79,7.77
Jul-79,2.55
Aug-79,10.08
Sep-79,-2.8
Oct-79,-11.44
Nov-79,5.24
Dec-79,0.76
Jan-80,6.88
Feb-80,-1.17
Mar-80,-13.31
Apr-80,8.47
May-80,7.66
Jun-80,5.8
Jul-80,7.98
Aug-80,2.16
Sep-80,-1.77
Oct-80,7.94
Nov-80,-1.03
Dec-80,-2.26
Jan-81,1.87
Feb-81,0.66
Mar-81,6
Apr-81,1.47
May-81,-4.58
Jun-81,3.99
Jul-81,0.58
Aug-81,-5.24
Sep-81,-5.55
Oct-81,5.17
Nov-81,6.38
Dec-81,-1.5
Jan-82,-0.89
Feb-82,-2.05
Mar-82,0.53
Apr-82,2.49
May-82,-0.98
Jun-82,-3.68
Jul-82,3.97
Aug-82,7.06
Sep-82,4.79
Oct-82,10.97
Nov-82,4.76
Dec-82,1.78
Jan-83,2.29
Feb-83,2.7
Mar-83,8.32
Apr-83,5.28
May-83,0.07
Jun-83,-0.91
Jul-83,-1.37
Aug-83,-0.77
Sep-83,2.23
Oct-83,2.52
Nov-83,1.43
Dec-83,1.51
Jan-84,1.31
Feb-84,-1.55
Mar-84,0.7
Apr-84,1.26
May-84,-2.82
Jun-84,0.25
Jul-84,-0.73
Aug-84,4.88
Sep-84,5.22
Oct-84,3.03
Nov-84,1.27
Dec-84,1.39
Jan-85,5.66
Feb-85,1.65
Mar-85,-0.67
Apr-85,0.09
May-85,2.72
Jun-85,2.32
Jul-85,0.92
Aug-85,-5.47
Sep-85,-3.11
Oct-85,3.14
Nov-85,-1.61
Dec-85,0.61
Jan-86,3.86
Feb-86,3.78
Mar-86,2.46
Apr-86,0.6
May-86,-0.57
